UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,F1MHOP,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1FHA,XF1H01,F1H01,XF1H02,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07
112817,R,264881415.0,R,604143095.0,R,110453668.0,R,714596763.0,R,979478178.0,R,94960697.0,R,59765000.0,R,61859811.0,R,121624811.0,R,835225500.0,R,0.0,R,835225500.0,R,956850311.0,R,115734339.0,R,128995755.0,R,102632983.0,R,487500.0,R,-230262013.0,R,1854225.0,R,84287529.0,Z,0.0,R,734909408.0,R,87461219.0,R,96398960.0,R,1003057116.0,R,288460363.0,Z,0.0,Z,0.0,R,402817512.0,C,367622242.0,C,35195270.0,C,-33341045.0,R,0.0,R,1854225.0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0.0,A,,Z,0,A,,R,0,R,0,Z,0,R,0,R,45638242,Z,0,R,8653034,R,284880,Z,0,R,-1295387,R,6995,R,53287764,R,53287764,R,409999.0,Z,0.0,Z,0.0,R,0,R,409999,R,53697763,Z,0,Z,0,Z,0,Z,0,R,1808206,R,583487,R,1392170,R,166514,R,2370352,R,317545,R,31067874,R,8819628,Z,0,R,127986.0,R,6704.0,A,,A,,A,,A,,R,-2005045,R,0,R,34761543,R,9893878,R,-13474430,R,5886659,R,1964460,R,19303849,R,11187127,1,R,-10541640.0,R,140260955.0,R,96431255.0,R,49408239.0,1,R,-3476652.0,R,111399252.0,R,19303084.0,R,34369169.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,R,489991.0,R,488358.0,R,-1633.0,R,0.0,R,2372.0,R,-4005.0,R,0.0,R,21176980.0,R,405303433.0,R,21176980.0,R,334053499.0,R,240253016.0,R,583565293.0,R,356089870.0
112826,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2869202,Z,0,Z,0,Z,0,Z,0,Z,0,R,707705.0,A,,R,125992,A,,R,0,R,3702899,Z,0,R,8954346,R,24715543,R,18889780,R,10563669,R,1133204,R,15025,Z,0,R,35651,R,64307218,R,68010117,R,2776977.0,R,1486112.0,Z,0.0,R,0,R,4263089,R,72273206,R,26321903,R,13715243,Z,0,Z,0,R,2028057,R,866256,R,11940218,R,4106826,R,12071855,R,5325355,R,5408967,R,2603712,R,10466071,R,1705156.0,R,568950.0,A,,A,,A,,A,,R,2803594,R,1245509,R,72745821,R,28431851,R,12365189,R,5418840,R,6505098,R,0,R,20024843,2,A,,A,,A,,A,,2,A,,A,,A,,A,,R,5162929.0,R,4196282.0,R,1075207.0,R,2250380.0,Z,0.0,R,31653.0,R,12716451.0,R,2250380.0,R,0.0,R,2250380.0,R,10466071.0,R,0.0,R,0.0,R,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,2250380.0,R,2250380.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,R,0.0,1,R,9954116.0,R,8661399.0,R,-1292717.0,R,871371.0,R,-991896.0,R,-1172151.0,R,-41.0,A,,A,,A,,A,,A,,A,,A,
113096,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,4571729,R,3075566,R,15765485,R,753915,R,753915,R,0,R,0.0,A,,R,0,A,,R,1118416,R,25285111,R,0,R,40910314,R,20692176,R,29500053,R,2931203,R,0,R,0,R,-719825,R,2918068,R,96231989,R,121517100,R,5560703.0,R,19898.0,R,0.0,R,91821,R,5672422,R,127189522,R,39407629,R,27647107,R,0,R,0,R,1335320,R,304581,R,10268243,R,7090446,R,18891275,R,10823110,R,17512039,R,6314386,R,3700,R,0.0,R,0.0,A,,A,,A,,A,,R,18877277,R,0,R,106295483,R,52179630,R,13772730,R,3915020,R,5580934,R,0,R,30847169,1,R,2969429.0,R,42099971.0,R,32679883.0,R,14356335.0,1,R,-656610.0,R,-3684932.0,R,2783998.0,R,2589625.0,R,13582378.0,R,934564.0,R,3358651.0,R,6245987.0,R,0.0,R,3700.0,R,24125280.0,R,24121580.0,R,0.0,R,24121580.0,R,3700.0,R,13582378.0,R,13582378.0,R,0.0,R,934564.0,R,934564.0,R,0.0,R,3358651.0,R,3358651.0,R,0.0,R,6245987.0,R,6245987.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
113111,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2293985,R,4729539,R,10294907,R,242299,R,242299,R,0,R,775978.0,A,,Z,0,A,,R,0,R,18336708,R,0,R,20239107,R,26399759,R,10834943,R,962772,R,0,R,0,R,0,R,6121627,R,64558208,R,82894916,R,93346.0,R,0.0,R,0.0,R,0,R,93346,R,82988262,R,11554038,R,10294682,R,0,R,0,R,1895729,R,1179259,R,7405074,R,3697520,R,5299828,R,4526978,R,8689011,R,4119936,R,6347881,R,4342859.0,R,1534753.0,A,,A,,A,,A,,R,8888533,R,298418,R,54422953,R,25651546,R,1,R,15322038,R,0,R,0,R,13449368,2,A,,A,,A,,A,,2,A,,A,,A,,A,,R,3033922.0,R,4583637.0,R,1176592.0,R,0.0,R,150339.0,R,0.0,R,8944490.0,R,2596609.0,R,0.0,R,2596609.0,R,6347881.0,R,2596609.0,R,2596609.0,R,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
113193,R,134580937.0,R,202341050.0,R,0.0,R,202341050.0,R,336921987.0,R,13791281.0,R,7655786.0,R,16303577.0,R,23959363.0,R,174869155.0,R,41759644.0,R,216628799.0,R,240588162.0,R,29100815.0,R,88521352.0,R,28605526.0,Z,0.0,R,-36102587.0,R,81024291.0,R,38046836.0,Z,0.0,R,229029468.0,R,17341714.0,R,11865251.0,R,296283269.0,R,93942219.0,Z,0.0,Z,0.0,R,127758522.0,R,110832010.0,R,16926512.0,R,64097779.0,R,0.0,R,81024291.0,R,7422800,R,12333136,R,8814075,R,1968901,R,1968901,Z,0,R,602110.0,A,,Z,0,A,,R,0,R,31141022,Z,0,R,15041528,R,61052496,R,19631587,R,0,R,0,R,0,R,110713,R,745101,R,96581425,R,127722447,R,0.0,R,0.0,R,0.0,R,36075,R,36075,R,127758522,R,37064080,R,21901737,R,476071,R,229425,R,1322973,R,518767,R,5547413,R,3255678,R,12614083,R,7255118,R,19683441,R,7037790,R,15092399,R,3818873.0,R,518767.0,A,,A,,A,,A,,R,15212677,R,1054756,R,110832010,R,41772038,R,6807969,R,6374157,R,7189277,R,7807212,R,40881357,1,R,-226194.0,R,39657468.0,R,28690295.0,R,12768051.0,1,R,-217309.0,R,1842795.0,R,410520.0,R,1023230.0,R,6603674.0,R,8157309.0,R,3201647.0,R,0.0,R,590924.0,R,0.0,R,18553554.0,R,3461155.0,R,0.0,R,3461155.0,R,15092399.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3461155.0,R,3461155.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,1,R,38518773.0,R,32745827.0,R,-5772946.0,R,1670351.0,R,-5696108.0,R,-1747369.0,R,180.0,R,7039205.0,R,127758522.0,R,16926512.0,R,81024291.0,R,336921987.0,R,182524941.0,R,110832010.0
113218,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,3554752,R,2158994,R,25236271,R,0,R,0,R,0,R,23137.0,A,,Z,0,A,,R,0,R,30973154,R,0,R,23773812,R,28460242,R,8108805,R,2651634,R,0,R,0,R,83039,R,9898363,R,72975895,R,103949049,R,525828.0,R,152513.0,R,0.0,R,1275971,R,1954312,R,105903361,R,18686777,R,12429704,R,0,R,0,R,0,R,0,R,4087454,R,2673731,R,11909874,R,6022635,R,5535831,R,1658404,R,14242236,R,817969.0,R,401297.0,A,,A,,A,,A,,R,35568634,R,790626,R,90848775,R,23976397,R,7783505,R,3156661,R,3297056,R,5762850,R,46872306,1,R,1587342.0,R,20678242.0,R,14442861.0,R,5952601.0,1,R,-103817.0,R,2904628.0,R,597150.0,R,375796.0,R,8108805.0,R,5121665.0,R,2085431.0,R,0.0,R,0.0,R,2679763.0,R,17995664.0,R,3753428.0,R,0.0,R,3753428.0,R,14242236.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3753428.0,R,3753428.0,R,0.0,1,R,1130379.0,R,1194034.0,R,63655.0,R,50931.0,R,23599.0,R,-15200.0,R,4325.0,A,,A,,A,,A,,A,,A,,A,
113236,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6199265,R,14182076,R,21853121,R,625721,R,625721,R,0,R,419073.0,R,0.0,R,0,R,0.0,R,0,R,43279256,R,0,R,41308345,R,68910611,R,35647612,R,0,R,0,R,0,R,-1621668,R,10627247,R,154872147,R,198151403,R,6559431.0,R,0.0,R,0.0,R,0,R,6559431,R,204710834,R,50831159,R,34821050,R,0,R,0,R,570386,R,341555,R,12521478,R,8949200,R,32061728,R,20058557,R,18816165,R,8740832,R,38095471,R,3811306.0,R,1594747.0,R,0.0,R,0.0,R,0.0,R,0.0,R,15075977,R,694834,R,171783670,R,75200775,R,18216353,R,9601510,R,5325412,R,4135718,R,59303902,1,R,4943532.0,R,0.0,R,0.0,R,0.0,1,R,807975.0,R,0.0,R,0.0,R,0.0,R,17258819.0,R,12909695.0,R,14186878.0,R,0.0,R,0.0,R,0.0,R,44355392.0,R,6259921.0,R,0.0,R,6259921.0,R,38095471.0,R,6259921.0,R,6259921.0,R,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
113333,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,18830691,Z,0,R,0,R,0,R,0,R,0,R,452809.0,A,,R,0,A,,R,32800413,R,52083913,R,0,R,20703453,R,56530972,R,17078996,R,38898596,R,515852,R,0,R,553178,R,0,R,134281047,R,186364960,R,0.0,R,0.0,R,0.0,R,0,R,0,R,186364960,R,82108081,R,47077736,R,0,R,0,R,0,R,0,R,28479922,R,15423780,R,11866421,R,3678919,R,13349538,R,5898336,R,26895758,R,2329212.0,R,837770.0,A,,A,,A,,A,,R,32367217,R,2663179,R,197396149,R,75579720,R,16678955,R,3319112,R,21766387,R,14373557,R,65678418,1,R,2325373.0,R,-48447535.0,R,44907013.0,R,19172843.0,1,R,1822576.0,R,-3777332.0,R,2401185.0,R,6125407.0,R,13057766.0,R,7026037.0,R,12916473.0,R,0.0,Z,0.0,R,295338.0,R,33295614.0,R,6399856.0,R,0.0,R,6399856.0,R,26895758.0,R,0.0,R,0.0,R,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,6399856.0,R,6399856.0,R,0.0,1,R,17501514.0,R,14592334.0,R,-2909180.0,R,1422145.0,R,-3119977.0,R,-374851.0,R,-836497.0,A,,A,,A,,A,,A,,A,,A,
113573,R,392813451.0,R,319085150.0,R,58668263.0,R,377753413.0,R,770566864.0,R,57288942.0,R,25066944.0,R,43187416.0,R,68254360.0,R,524125336.0,R,58438635.0,R,582563971.0,R,650818331.0,R,39688363.0,R,41509768.0,R,125700695.0,R,0.0,R,-29861351.0,R,137349112.0,R,40087162.0,R,144991773.0,R,318147832.0,R,24336333.0,R,17364207.0,R,544927307.0,R,167866788.0,R,0.0,R,0.0,R,206910611.0,R,180695179.0,R,26215432.0,R,111216098.0,R,-82418.0,R,137349112.0,R,5806885,R,10057749,R,16735553,R,229548,R,229548,R,0,R,0.0,A,,R,0,A,,R,0,R,32829735,R,0,R,25627595,R,86499549,R,38089720,R,7871506,R,0,R,0,R,0,R,1317413,R,159405783,R,192235518,R,14675093.0,R,0.0,R,0.0,R,0,R,14675093,R,206910611,R,38188410,R,26014886,R,0,R,0,R,3096409,R,997055,R,8705709,R,5799466,R,12585612,R,8562887,R,3820494,R,2372660,R,45582849,R,0.0,R,0.0,A,,A,,A,,A,,R,68715696,R,15699792,R,180695179,R,59446746,R,20990064,R,30405981,R,16368941,R,7900598,R,45582849,1,R,7144475.0,R,53130654.0,R,33044876.0,R,22381918.0,1,R,514277.0,R,5307981.0,R,2593840.0,R,2951695.0,R,13561313.0,R,24302100.0,R,9561574.0,R,0.0,R,4170463.0,R,0.0,R,51595450.0,R,6012601.0,R,0.0,R,6012601.0,R,45582849.0,R,47400.0,R,47400.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,5965201.0,R,5965201.0,R,0.0,1,R,28023860.0,R,42244250.0,R,14220390.0,R,436028.0,R,-2252554.0,R,-841519.0,R,16878435.0,R,11540339.0,R,192235518.0,R,26215432.0,R,137349112.0,R,392813451.0,R,510745000.0,R,180695179.0
113634,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,18943837,Z,0,Z,0,Z,0,Z,0,Z,0,R,1657798.0,A,,R,545818,A,,R,0,R,21147453,R,0,R,26478983,R,66618083,R,37990563,R,21627303,R,589490,R,0,Z,0,R,71701,R,153376123,R,174523576,R,4890442.0,R,705309.0,R,0.0,R,0,R,5595751,R,180119327,R,76128149,R,42807605,Z,0,Z,0,R,3321716,R,1185666,R,22363887,R,7124233,R,21205711,R,10537175,R,8556296,R,4443680,R,25880099,R,3770671.0,R,1406570.0,A,,A,,A,,A,,R,8342078,R,2469081,R,169568607,R,69974010,R,34511424,R,9580988,R,6084423,R,0,R,49417762,2,A,,A,,A,,A,,2,A,,A,,A,,A,,R,11839119.0,R,10260655.0,R,3663338.0,R,5334597.0,Z,0.0,R,116987.0,R,31214696.0,R,5334597.0,R,0.0,R,5334597.0,R,25880099.0,R,0.0,R,0.0,R,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,5334597.0,R,5334597.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,R,0.0,1,R,8605458.0,R,7760595.0,R,-844863.0,R,678233.0,R,-779407.0,R,-743689.0,R,0.0,A,,A,,A,,A,,A,,A,,A,
113856,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6963955,R,44277714,R,41804293,R,13627373,R,13627373,R,0,R,1359161.0,A,,R,0,A,,R,0,R,108032496,R,0,R,64933514,R,52356951,R,24954227,R,12079265,R,0,R,0,R,0,R,7468990,R,161792947,R,269825443,Z,0.0,Z,0.0,R,0.0,R,0,R,0,R,269825443,R,99567254,R,62361086,R,0,R,0,R,753121,R,465530,R,12195881,R,7581497,R,27017980,R,16576675,R,16463892,R,9919865,R,61978429,R,4239923.0,R,3165152.0,A,,A,,A,,A,,R,36970582,R,0,R,259187062,R,100069805,R,16522840,R,21087616,R,27157024,R,0,R,94349777,1,R,6648189.0,R,83653597.0,R,58100958.0,R,25110959.0,1,R,-2048956.0,R,66681423.0,R,56472843.0,R,28397434.0,R,24954227.0,R,28142990.0,R,21074957.0,Z,0.0,Z,0.0,R,0.0,R,74172174.0,R,12193745.0,R,0.0,R,12193745.0,R,61978429.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,12193745.0,R,12193745.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
113980,R,122665483.0,R,477462864.0,R,147088388.0,R,624551252.0,R,747216735.0,R,32282673.0,R,20994831.0,R,52823436.0,R,73818267.0,R,657259408.0,R,0.0,R,657259408.0,R,731077675.0,R,70907172.0,R,-18980866.0,R,43590952.0,R,0.0,R,-47095525.0,R,-22485439.0,R,59774976.0,R,0.0,R,532202671.0,R,7020635.0,R,55080494.0,R,654078776.0,R,176615912.0,R,0.0,R,0.0,R,259076031.0,R,233837999.0,R,25238032.0,R,-97876625.0,R,50153154.0,R,-22485439.0,R,12034228,Z,0,Z,0,Z,0,Z,0,Z,0,R,462881.0,A,,Z,0,A,,R,53247237,R,65744346,R,0,R,82951969,R,35698226,R,57442464,R,6107797,R,0,R,0,R,1532235,R,0,R,183732691,R,249477037,R,0.0,R,0.0,R,0.0,R,9598994,R,9598994,R,259076031,R,63491559,R,50197689,Z,0,Z,0,R,4650178,R,2340036,R,13953545,R,10439639,R,28065402,R,21149504,R,13056400,R,6194852,R,50833590,R,10859375.0,R,2689515.0,A,,A,,A,,A,,R,48927950,R,11686363,R,233837999,R,104697598,R,25158462,R,32001627,R,12126312,R,20126300,R,39727700,1,R,17157052.0,R,89024964.0,R,62303631.0,R,25602487.0,1,R,952432.0,R,-3441484.0,R,8603541.0,R,3746707.0,R,23453175.0,R,36823904.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,60277079.0,R,9443489.0,R,0.0,R,9443489.0,R,50833590.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,9443489.0,R,9443489.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,R,-168093653.0,R,193331685.0,R,25238032.0,R,-22485439.0,R,122665483.0,R,657259408.0,R,233837999.0
114266,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,4131311,R,11260603,R,9094067,R,728793,R,728793,R,0,R,0.0,A,,R,0,A,,R,33719,R,25248493,Z,0,R,5675164,R,40510745,R,10675164,R,124089,R,0,R,0,R,2013469,R,1000000,R,59998631,R,85247124,R,31866395.0,R,0.0,R,0.0,R,18720480,R,50586875,R,135833999,R,54676132,R,23652643,Z,0,R,0,Z,0,R,0,R,12733844,R,5799254,R,17883040,R,7652536,R,11420346,R,5906726,R,19432581,R,0.0,R,0.0,A,,A,,A,,A,,R,6533532,R,1280860,R,122679475,R,44292019,R,28188117,R,12810308,R,12434593,R,11744780,R,13209658,1,R,2973924.0,R,28573623.0,R,17781324.0,R,10599929.0,1,R,975323.0,R,-6762675.0,R,2472506.0,R,177392.0,R,9060774.0,R,3533653.0,R,3712303.0,R,244000.0,Z,0.0,R,6560230.0,R,23110960.0,R,3678379.0,R,0.0,R,3678379.0,R,19432581.0,R,2038322.0,R,2038322.0,R,0.0,R,761066.0,R,761066.0,R,0.0,R,833344.0,R,833344.0,R,0.0,R,45647.0,R,45647.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
114433,R,24037906.0,R,11403876.0,R,3369819.0,R,14773695.0,R,38811601.0,R,3105987.0,R,793682.0,R,7884542.0,R,8678224.0,R,11287961.0,R,0.0,R,11287961.0,R,19966185.0,R,6330000.0,R,12569137.0,R,13016.0,R,0.0,R,3039250.0,R,15621403.0,R,1806824.0,R,0.0,R,18720586.0,R,7002668.0,R,0.0,R,27530078.0,R,14960941.0,R,0.0,R,0.0,R,31274271.0,R,26561614.0,R,4712657.0,R,10076671.0,R,832075.0,R,15621403.0,R,873805,R,2082563,R,5058358,R,0,R,0,R,0,R,188259.0,R,0.0,R,0,R,0.0,R,2299909,R,10502894,Z,0,R,9518849,R,7194333,R,3463958,R,556449,R,0,R,0,R,37778,R,10,R,20771377,R,31274271,R,0.0,R,0.0,R,0.0,R,0,R,0,R,31274271,R,9985169,R,5154708,R,0,R,0,R,0,R,0,R,900533,R,595310,R,4261456,R,2430387,R,4126908,R,1492170,R,3913140,R,1663306.0,R,799574.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1711102,R,970271,R,26561614,R,11442420,R,3897875,R,896587,R,805580,R,624,R,9518528,1,R,1189836.0,R,9221000.0,R,6330000.0,R,2932084.0,1,R,-58479.0,R,1998017.0,R,0.0,R,173903.0,R,1031772.0,R,38400.0,R,104182.0,R,0.0,R,0.0,R,3645423.0,R,4819777.0,R,906637.0,R,0.0,R,906637.0,R,3913140.0,R,732002.0,R,732002.0,R,0.0,R,147391.0,R,147391.0,R,0.0,R,27243.0,R,27243.0,R,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,1.0,R,1.0,R,0.0,1,R,47926.0,R,48286.0,R,360.0,R,0.0,R,0.0,R,0.0,R,360.0,R,3815246.0,R,31015629.0,R,4647321.0,R,28240319.0,R,15671182.0,R,0.0,R,27200383.0
114716,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,13570946,Z,0,R,0,R,0,R,0,R,0,R,326332.0,R,0.0,R,0,R,0.0,R,23638677,R,37535955,R,0,R,14920612,R,40740871,R,12296877,R,28052516,R,372017,R,0,R,398665,R,0,R,96781558,R,134317513,R,0.0,R,0.0,R,0.0,R,0,R,0,R,134317513,R,59213917,R,33951069,R,0,R,0,R,0,R,0,R,20538876,R,11123174,R,8557712,R,2653127,R,7675984,R,3391543,R,12656827,R,3260897.0,R,1172878.0,R,0.0,R,0.0,R,0.0,R,0.0,R,23337622,R,1919306,R,135241835,R,54211097,R,11898937,R,2378626,R,15610031,R,10308172,R,40834972,1,R,1632709.0,R,-34016354.0,R,31530456.0,R,13461783.0,1,R,1279681.0,R,-2652169.0,R,1685938.0,R,4300818.0,R,4352589.0,R,5087820.0,R,5275743.0,R,0.0,Z,0.0,R,952372.0,R,15668524.0,R,3011697.0,R,0.0,R,3011697.0,R,12656827.0,R,0.0,R,0.0,R,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,3011697.0,R,3011697.0,R,0.0,1,R,12212431.0,R,10523559.0,R,-1688872.0,R,1025609.0,R,-2250035.0,R,-270331.0,R,-194115.0,A,,A,,A,,A,,A,,A,,A,
