UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,F1MHOP,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1FHA,XF1H01,F1H01,XF1H02,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07
100654,R,185317695.0,R,216635660.0,R,114706.0,R,216750366.0,R,402068061.0,R,49334293.0,R,0.0,R,74071288.0,R,74071288.0,R,65436528.0,R,127828301.0,R,193264829.0,R,267336117.0,R,42633094.0,R,160949955.0,R,-35116319.0,R,0.0,R,15599507.0,R,141433143.0,R,5598192.0,R,0.0,R,280904064.0,R,45293378.0,R,36764776.0,R,368560410.0,R,147293105.0,R,0.0,R,7087979.0,R,232809852.0,R,227586697.0,R,5223155.0,R,136209988.0,R,0.0,R,141433143.0,R,51735563,R,43116021,R,1843576,R,0,R,0,R,0,R,31925431.0,R,0.0,R,1489437,R,0.0,R,2867017,R,132977045,R,2303040,R,74140134,R,0,R,20038415,Z,0,Z,0,R,1950000,R,810609,R,590609,R,99832807,R,232809852,R,0.0,R,0.0,R,0.0,R,0,R,0,R,232809852,R,32549205,R,25953542,R,16308749,R,7316158,R,12768521,R,6297582,R,8910325,R,5087615,R,29971958,R,6010269,R,31080494,R,7881636,R,32581617,R,37287023.0,R,5507323.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,26128805,R,1670555,R,227586697,R,65724680,R,20551730,R,3421427,R,12118538,R,707475,R,125062847,1,R,8288567.0,R,107557000.0,R,21069000.0,R,16625000.0,1,R,2902635.0,R,17756297.0,R,21407014.0,R,32709293.0,R,20038415.0,R,10434767.0,R,1413863.0,R,0.0,Z,0.0,R,26615257.0,R,58502302.0,R,25920685.0,R,0.0,R,25920685.0,R,32581617.0,R,0.0,R,0.0,R,0.0,R,90250.0,R,90250.0,Z,0.0,R,24775.0,R,24775.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,25805660.0,R,25805660.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,R,19175452.0,R,232809484.0,R,5223151.0,R,141433143.0,R,-35116319.0,R,18106512.0,R,227586697.0
100663,R,2530576311.0,R,2079976753.0,R,1955756818.0,R,4035733571.0,R,6566309882.0,R,897397750.0,R,80657229.0,R,600859682.0,R,681516911.0,R,1257913175.0,R,1846710054.0,R,3104623229.0,R,3786140140.0,R,807909689.0,R,857959204.0,R,458867147.0,R,517206017.0,R,1035625435.0,R,2869657803.0,R,181223551.0,R,101066722.0,R,2999480653.0,R,1315159482.0,R,167478651.0,R,4764409059.0,R,2823565686.0,R,0.0,R,139133380.0,R,5188596442.0,R,4677414873.0,R,511181569.0,R,2357345889.0,R,1130345.0,R,2869657803.0,R,245459954,R,600264365,R,14457544,R,110182442,R,6401027,R,103781415,R,51761067.0,R,3122236928.0,R,72309309,Z,0.0,R,46015088,R,4262686697,R,10863331,R,369169834,R,0,R,40837244,R,0,R,0,R,26226067,R,326493909,R,6395214,R,779985599,R,5042672296,R,60888728.0,R,42769897.0,R,22830072.0,R,19435449,R,145924146,R,5188596442,R,349881220,R,220271782,R,356049128,R,175884019,R,299629622,R,87468406,R,227805608,R,158212163,R,54013424,R,23519765,R,284418368,R,80289080,R,28273943,R,94414484.0,R,14377962.0,R,2852445659.0,R,910553366.0,Z,0.0,Z,0.0,R,130483417,R,0,R,4677414873,R,1670576543,R,483344112,R,103007944,R,207898530,R,38590498,R,2173997246,1,R,189605000.0,R,1694871000.0,R,90267000.0,R,566158000.0,1,R,-59121586.0,R,148290100.0,R,690528114.0,R,317431394.0,R,25371961.0,R,15895855.0,R,301961.0,R,0.0,R,12598328.0,R,78936839.0,R,133104944.0,R,101377517.0,R,3453484.0,R,104831001.0,R,28273943.0,R,19324199.0,R,19324199.0,R,0.0,R,12106856.0,R,12106856.0,R,0.0,R,229985.0,R,229985.0,R,0.0,R,0.0,R,0.0,R,0.0,R,8221719.0,R,8221719.0,R,0.0,R,64948242.0,R,61494758.0,R,3453484.0,1,R,673320170.0,R,739372914.0,R,66052744.0,R,28180269.0,R,37872475.0,R,-30412890.0,R,30412890.0,R,393887473.0,R,5926445854.0,R,615517952.0,R,5145412986.0,R,3814310900.0,R,112383499.0,R,5529670404.0
100706,R,191133109.0,R,291902452.0,R,190182144.0,R,482084596.0,R,673217705.0,R,115690814.0,R,7234920.0,R,76131966.0,R,83366886.0,R,137943528.0,R,251489286.0,R,389432814.0,R,472799700.0,R,80431442.0,R,165912607.0,R,88142241.0,R,17887270.0,R,-36264741.0,R,235677377.0,R,45039271.0,R,0.0,R,480754855.0,R,120390370.0,R,2236324.0,R,648420820.0,R,343282982.0,R,2014915.0,R,0.0,R,395404266.0,R,306323891.0,R,89080375.0,R,147042796.0,R,-445794.0,R,235677377.0,R,75728883,R,125137893,R,5526996,R,2826679,R,0,R,2826679,R,16140647.0,R,0.0,R,4032231,R,0.0,R,0,R,229393329,R,0,R,73678125,R,0,R,9170783,R,0,R,0,R,3398143,R,14685547,R,0,R,100932598,R,330325927,R,21914057.0,R,20401460.0,R,3192289.0,R,19570533,R,65078339,R,395404266,R,72583420,R,45300813,R,128321935,R,62389013,R,4077881,R,1726453,R,17013709,R,5427457,R,20203313,R,8480944,R,23128046,R,12029228,R,4212336,R,10908575.0,R,2095358.0,R,0.0,R,0.0,R,0.0,R,0.0,R,25874676,R,0,R,306323891,R,137449266,R,59391790,R,15732384,R,20326789,R,5403646,R,68020016,1,R,30263765.0,R,237205000.0,R,9634000.0,R,82415669.0,1,R,-4389089.0,R,13303095.0,R,64829242.0,R,33275145.0,R,8202339.0,R,313208.0,R,217233.0,R,0.0,R,3372640.0,R,33353686.0,R,45459106.0,R,40451521.0,R,795249.0,R,41246770.0,R,4212336.0,R,10790948.0,R,10790948.0,R,0.0,R,346790.0,R,346790.0,R,0.0,R,4568.0,R,4568.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1056509.0,R,1035379.0,R,21130.0,R,29047955.0,R,28273836.0,R,774119.0,1,R,87756960.0,R,99627019.0,R,11870059.0,R,6663908.0,R,5206151.0,R,-3795240.0,R,3795240.0,R,40656997.0,R,362828426.0,R,112259674.0,R,440404324.0,R,337268534.0,R,145178448.0,R,331641104.0
100724,R,137736601.0,R,237628454.0,R,822454.0,R,238450908.0,R,376187509.0,R,54173161.0,R,4471218.0,R,30075696.0,R,34546914.0,R,40960000.0,R,112945717.0,R,153905717.0,R,188452631.0,R,50035776.0,R,214069.0,R,28822011.0,R,250000.0,R,162586183.0,R,191872263.0,R,21493898.0,R,93098071.0,R,285786860.0,R,28337607.0,R,884725.0,R,429601161.0,R,199382756.0,R,4697608.0,R,2712441.0,R,182037788.0,R,161817460.0,R,20220328.0,R,171620783.0,R,31152.0,R,191872263.0,R,38285863,R,29426372,R,4460640,R,3185858,R,0,R,3185858,R,15164777.0,R,0.0,R,0,R,0.0,R,5896950,R,96420460,R,0,R,69270686,R,0,R,12091361,R,261254,R,0,R,55000,R,2995146,R,0,R,84673447,R,181093907,R,943881.0,R,0.0,R,0.0,R,0,R,943881,R,182037788,R,43009909,R,32906133,R,4601665,R,2102547,R,5993380,R,3650494,R,20251707,R,10192835,R,25038191,R,13157131,R,30297411,R,8437907,R,15084594,R,13874718.0,R,2577410.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3665885,R,0,R,161817460,R,73024457,R,14758111,R,20872934,R,12575205,R,2178099,R,38408654,1,R,4778765.0,R,98398240.0,R,3685000.0,R,32818623.0,1,R,-1112880.0,R,9549942.0,R,46350776.0,R,20987838.0,R,11772440.0,R,318922.0,R,261254.0,R,0.0,R,490385.0,R,16852977.0,R,29695978.0,R,11537779.0,R,3073605.0,R,14611384.0,R,15084594.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,14611384.0,R,11537779.0,R,3073605.0,1,R,108202146.0,R,118616285.0,R,10414139.0,R,99770.0,R,1852076.0,R,-2584132.0,R,11046425.0,R,21974812.0,R,186376404.0,R,21974812.0,R,295548820.0,R,0.0,R,40960000.0,R,161817460.0
100733,R,7929272.0,R,17116438.0,R,12905733.0,R,30022171.0,R,37951443.0,R,12095273.0,R,0.0,R,6227934.0,R,6227934.0,R,0.0,R,26717895.0,R,26717895.0,R,32945829.0,R,8784784.0,R,16125501.0,R,0.0,R,0.0,R,-7809398.0,R,8316103.0,R,106750.0,R,76802.0,R,20206850.0,R,196059.0,R,670504.0,R,21256965.0,R,5947896.0,R,1580830.0,R,226539.0,R,25837619.0,R,44028824.0,R,-18191205.0,R,26509552.0,R,-2244.0,R,8316103.0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0,A,,R,24426997,R,24426997,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1164920,R,245702,R,1410622,R,25837619,R,0.0,R,0.0,R,0.0,R,0,R,0,R,25837619,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,Z,0,R,0,Z,0,R,22021705,R,15789757,Z,0,Z,0.0,Z,0.0,A,,A,,A,,A,,R,22007119,R,0,R,44028824,R,15789757,R,4070908,R,0,R,909376,R,9583,R,23249200,1,R,2940847.0,R,24540000.0,R,1949000.0,R,8905409.0,1,R,-504261.0,R,1537877.0,R,6835784.0,R,3189864.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,R,-18191205.0,R,25837619.0,R,-18191205.0,R,8316103.0,R,7809398.0,R,0.0,R,44028824.0
100751,R,883372278.0,R,2376277956.0,R,2488963758.0,R,4865241714.0,R,5748613992.0,R,444311087.0,R,47775250.0,R,553996106.0,R,601771356.0,R,1051532061.0,R,977029145.0,R,2028561206.0,R,2630332562.0,R,330284306.0,R,1655747911.0,R,729908171.0,R,750668381.0,R,95983748.0,R,3232308211.0,R,200217929.0,R,233386798.0,R,2794179078.0,R,431200748.0,R,180086355.0,R,3839070908.0,R,1174161631.0,R,65391724.0,R,18589106.0,R,1837798545.0,R,1330548548.0,R,507249997.0,R,2725058214.0,R,0.0,R,3232308211.0,R,489751283,R,111570875,R,33993620,R,7408879,R,1432341,R,5976538,R,218138305.0,R,0.0,R,17564235,R,0.0,R,95574270,R,974001467,R,0,R,212885740,R,0,R,39136784,R,0,R,0,R,78861700,R,219906628,R,7593264,R,558384116,R,1532385583,R,91296042.0,R,46465094.0,R,145730568.0,R,21921258,R,305412962,R,1837798545,R,330839391,R,178576848,R,192820347,R,91196833,R,73614730,R,35453442,R,122985559,R,53941086,R,78187613,R,31458893,R,127881675,R,58824196,R,37137535,R,270924165.0,R,79465438.0,R,0.0,R,0.0,R,0.0,R,0.0,R,96157533,R,0,R,1330548548,R,528916736,R,208345810,R,108147844,R,101494782,R,33672284,R,349971092,1,R,110337003.0,R,894458000.0,R,41588000.0,R,304165286.0,1,R,-23083687.0,R,57432788.0,R,273377903.0,R,124292935.0,R,33476067.0,R,5998657.0,R,1255119.0,R,0.0,R,19655959.0,R,288875558.0,R,349261360.0,R,295336578.0,R,16787247.0,R,312123825.0,R,37137535.0,R,33476067.0,R,33476067.0,R,0.0,R,5998657.0,R,5998657.0,R,0.0,R,1255119.0,R,1255119.0,R,0.0,R,0.0,R,0.0,R,0.0,R,5997025.0,R,5997025.0,R,0.0,R,265396957.0,R,248609710.0,R,16787247.0,1,R,1144632976.0,R,1369440098.0,R,224807122.0,R,175368036.0,R,114289374.0,R,-64185953.0,R,-664335.0,R,96411833.0,R,1458925653.0,R,561914071.0,R,3751222779.0,R,1656890692.0,R,1174146824.0,R,1362710658.0
100760,R,19739995.0,R,34799863.0,R,0.0,R,34799863.0,R,54539858.0,R,7367559.0,R,311914.0,R,5617738.0,R,5929652.0,R,5008415.0,R,17773942.0,R,22782357.0,R,28712009.0,R,6973894.0,R,29470332.0,R,213509.0,R,494579.0,R,-3956906.0,R,26221514.0,R,1699274.0,R,2366988.0,R,44335030.0,R,10175175.0,R,3637776.0,R,62214243.0,R,27429725.0,R,15345.0,R,0.0,R,26553077.0,R,21050065.0,R,5503012.0,R,20718502.0,R,0.0,R,26221514.0,R,2644807,R,1363682,R,2130215,R,0,R,0,R,0,R,0.0,A,,R,0,A,,R,0,R,6138704,R,0,R,13638421,R,0,R,4588938,R,0,R,666061,R,1118695,R,19558,R,382700,R,20414373,R,26553077,R,0.0,R,0.0,R,0.0,R,0,R,0,R,26553077,R,8248407,R,4917627,R,0,R,0,R,0,R,0,R,1144913,R,637559,R,2899369,R,1590495,R,4909900,R,1732380,R,1646578,R,0.0,R,0.0,A,,A,,A,,A,,R,2200898,R,0,R,21050065,R,8878061,R,2328690,R,2931066,R,1427650,R,150563,R,5334035,1,R,1065367.0,R,15861000.0,R,960000.0,R,5325379.0,1,R,1135531.0,R,1439298.0,R,6013894.0,R,2042180.0,R,3057404.0,R,73168.0,R,744478.0,R,0.0,R,0.0,R,999274.0,R,4874324.0,R,3227746.0,R,0.0,R,3227746.0,R,1646578.0,R,1181274.0,R,1181274.0,R,0.0,R,26257.0,R,26257.0,R,0.0,R,1020941.0,R,1020941.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,999274.0,R,999274.0,R,0.0,1,R,144975.0,R,148091.0,R,3116.0,R,0.0,R,3158.0,R,0.0,R,-42.0,R,4905508.0,R,26553077.0,R,4905508.0,R,23962255.0,R,6002656.0,R,5320329.0,R,20452561.0
100812,R,40506193.0,R,53366237.0,R,7873593.0,R,61239830.0,R,101746023.0,R,18848128.0,R,1500000.0,R,9850088.0,R,11350088.0,R,4718000.0,R,45798950.0,R,50516950.0,R,61867038.0,R,14438876.0,R,45269295.0,R,5881341.0,R,200000.0,R,-7062399.0,R,44288237.0,R,2664306.0,R,3172484.0,R,53691815.0,R,4400113.0,R,10069721.0,R,73998439.0,R,22428434.0,R,1796232.0,Z,0.0,R,64409355.0,R,46952001.0,R,17457354.0,R,26830883.0,R,0.0,R,44288237.0,R,16159710,R,2623318,R,4046116,R,0,R,0,R,0,R,449918.0,R,0.0,R,0,R,0.0,R,0,R,23279062,Z,0,R,33935471,Z,0,R,5725373,Z,0,Z,0,R,0,R,990482,R,478967,R,41130293,R,64409355,R,0.0,R,0.0,R,0.0,R,0,R,0,R,64409355,R,21523557,R,14010599,R,0,Z,0,R,0,Z,0,R,4287099,R,2360989,R,4969216,R,2326430,R,8774212,R,4009223,R,3560336,R,440659.0,R,149941.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,3396922,R,0,R,46952001,R,22857182,R,6380591,R,1930680,R,1734308,R,181679,R,13867561,1,R,4957975.0,R,40057000.0,R,1885000.0,R,14047327.0,1,R,-1742730.0,R,3400184.0,R,12553876.0,R,4683167.0,R,2117302.0,R,363732.0,R,82827.0,R,0.0,R,0.0,R,5822649.0,R,8386510.0,R,4826174.0,R,0.0,R,4826174.0,R,3560336.0,R,2117302.0,R,2117302.0,R,0.0,R,363732.0,R,363732.0,R,0.0,R,82827.0,R,82827.0,R,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,2262313.0,R,2262313.0,R,0.0,1,R,4982337.0,R,6058537.0,R,1076200.0,R,944166.0,R,327811.0,R,-195777.0,R,0.0,R,-23491260.0,R,64409355.0,R,17457354.0,R,44288237.0,R,-7062399.0,R,6218000.0,R,46952001.0
100830,R,30375974.0,R,96189647.0,R,97096842.0,R,193286489.0,R,223662463.0,R,39072452.0,R,629539.0,R,31831502.0,R,32461041.0,R,329974.0,R,153873161.0,R,154203135.0,R,186664176.0,R,31492540.0,R,26195037.0,R,31915827.0,R,5388177.0,R,-18920842.0,R,44578199.0,R,15456983.0,R,11177184.0,R,137068081.0,R,37224507.0,R,3698969.0,R,204625724.0,R,108436078.0,R,0.0,R,0.0,R,112717206.0,R,97380380.0,R,15336826.0,R,28941371.0,R,300002.0,R,44578199.0,R,40644815,R,1928420,R,3124683,R,169982,R,0,R,169982,R,7321395.0,R,0.0,R,1669525,R,0.0,R,996098,R,55854918,R,0,R,40747913,R,0,R,8533729,R,0,R,0,R,973892,R,5305335,R,0,R,55560869,R,111415787,R,1291306.0,R,0.0,R,10113.0,R,0,R,1301419,R,112717206,R,31968642,R,23490421,R,960554,R,502412,R,3699731,R,2435398,R,6910960,R,4430583,R,11282712,R,5675141,R,15014880,R,6914080,R,3246217,R,6713310.0,R,1542039.0,R,0.0,R,0.0,R,0.0,R,0.0,R,17583374,R,1718608,R,97380380,R,46708682,R,15205177,R,7055776,R,6053037,R,1228070,R,21129638,1,R,4620587.0,R,82069508.0,R,5296056.0,R,26047276.0,1,R,-2642449.0,R,8066915.0,R,26196484.0,R,13025176.0,R,8524894.0,R,439092.0,R,238829.0,R,0.0,R,1616829.0,R,12821149.0,R,23640793.0,R,18537850.0,R,1856726.0,R,20394576.0,R,3246217.0,R,8524894.0,R,7748786.0,R,776108.0,R,439092.0,R,399117.0,R,39975.0,R,238829.0,R,217086.0,R,21743.0,R,0.0,R,0.0,R,0.0,R,1616828.0,R,1469632.0,R,147196.0,R,9574933.0,R,8703229.0,R,871704.0,1,R,57070175.0,R,60862957.0,R,3792782.0,R,449032.0,R,6278780.0,R,-2935030.0,R,0.0,R,14035407.0,R,111415787.0,R,15336826.0,R,44578199.0,R,12994985.0,R,69856533.0,R,97380380.0
100858,R,530670194.0,R,2099653980.0,R,1640187744.0,R,3739841724.0,R,4270511918.0,R,491601910.0,R,70425260.0,R,453410382.0,R,523835642.0,R,1087125676.0,R,1124336136.0,R,2211461812.0,R,2735297454.0,R,361295505.0,R,1432950477.0,R,252843320.0,R,25561468.0,R,-45834396.0,R,1665520869.0,R,215733940.0,R,300941181.0,R,2465876655.0,R,562525462.0,R,92515985.0,R,3637593223.0,R,1426430131.0,R,0.0,R,3946230.0,R,1553599802.0,R,1419815257.0,R,133784545.0,R,1529294196.0,R,2442128.0,R,1665520869.0,R,508389990,R,167123560,R,18387214,R,25652319,R,2760778,R,22891541,R,184574375.0,R,0.0,R,70735629,R,0.0,R,22738476,R,997601563,R,0,R,372626667,R,0,R,18401153,R,0,R,0,R,50527980,R,93571648,R,0,R,535127448,R,1532729011,R,11196347.0,R,9347593.0,R,326851.0,R,0,R,20870791,R,1553599802,R,300285653,R,154371952,R,307994935,R,138510566,R,132209979,R,56152254,R,200705568,R,103039670,R,51762494,R,22615680,R,107658460,R,70507211,R,19887924,R,263893048.0,R,83094181.0,R,0.0,R,0.0,R,0.0,R,0.0,R,35417196,R,0,R,1419815257,R,628291514,R,209147703,R,131434820,R,122093079,R,37454258,R,291393883,1,R,62386558.0,R,944185587.0,R,42550943.0,R,323667795.0,1,R,-28005026.0,R,95222313.0,R,313637168.0,R,140798071.0,R,18043636.0,R,1511846.0,R,194472.0,R,1574.0,R,66562004.0,R,114654011.0,R,200967543.0,R,170427967.0,R,10651652.0,R,181079619.0,R,19887924.0,R,18045428.0,R,16986161.0,R,1059267.0,R,4334203.0,R,4079786.0,R,254417.0,R,308891.0,R,290759.0,R,18132.0,R,0.0,R,0.0,R,0.0,R,29287512.0,R,27568335.0,R,1719177.0,R,129103585.0,R,121502926.0,R,7600659.0,1,R,911152148.0,R,1010419784.0,R,99267636.0,R,37340308.0,R,104418662.0,R,-42491334.0,R,0.0,R,112913754.0,R,1532729011.0,R,133784545.0,R,1665520869.0,R,207008924.0,R,1157550936.0,R,1419815257.0
