UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,F1MHOP,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1FHA,XF1H01,F1H01,XF1H02,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07
100654,R,121792342.0,R,139692768.0,R,58299121.0,R,197991889.0,R,319784231.0,R,34808821.0,R,0.0,R,49916707.0,R,49916707.0,R,12994785.0,R,123353589.0,R,136348374.0,R,186265081.0,R,30095027.0,R,184997105.0,R,4129435.0,R,0.0,R,-50893596.0,R,138232944.0,R,5598192.0,R,0.0,R,234054444.0,R,45805711.0,R,49511079.0,R,334969426.0,R,147303107.0,R,0.0,R,10315568.0,R,344304848.0,R,224296793.0,R,120008055.0,R,17158049.0,R,1066840.0,R,138232944.0,R,48885898,R,85458788,R,1097896,R,561953,R,0,R,561953,R,29141562.0,R,0.0,R,834768,R,0.0,R,0,R,165980865,R,3799251,R,47976861,R,0,R,19661416,R,225276,R,0,R,2158277,R,59770,R,104443132,R,178323983,R,344304848,R,0.0,R,0.0,Z,0.0,R,0,R,0,R,344304848,R,40721719,R,22450482,R,12843275,R,5156941,R,17011985,R,6238927,R,8352837,R,4008167,R,31261801,R,5139403,R,10252873,R,7148615,R,73569442,R,18459400.0,R,3996525.0,R,0.0,R,0.0,R,0.0,R,0.0,R,11823461,R,110060,R,224296793,R,54249120,R,16586188,R,34774077,R,7775603,R,533420,R,110378385,1,R,8288567.0,R,86756000.0,R,3365000.0,R,20211803.0,1,R,2902635.0,R,35751021.0,R,26730027.0,R,14597018.0,R,18848881.0,R,53356055.0,R,225276.0,R,0.0,R,0.0,R,25403479.0,R,97833691.0,R,24264249.0,R,0.0,R,24264249.0,R,73569442.0,R,0.0,R,0.0,R,0.0,R,92492.0,R,92492.0,R,0.0,R,33721.0,R,33721.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,24138036.0,R,24138036.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,R,67540917.0,R,344152626.0,R,121074895.0,R,17158049.0,R,-46764161.0,R,12994785.0,R,224144571.0
100663,R,2589430410.0,R,1785434034.0,R,2003879431.0,R,3789313465.0,R,6378743875.0,R,862615016.0,R,37443982.0,R,740299511.0,R,777743493.0,R,1063644857.0,R,2131819829.0,R,3195464686.0,R,3973208179.0,R,525445555.0,R,783857828.0,R,600618098.0,R,390693182.0,R,967536049.0,R,2742705157.0,R,171241350.0,R,100144465.0,R,2828974515.0,R,1177882783.0,R,46679169.0,R,4324922282.0,R,2539488248.0,R,0.0,R,0.0,R,4487600971.0,R,3686200598.0,R,801400373.0,R,1941304784.0,R,0.0,R,2742705157.0,R,243476387,R,431152917,R,10601840,R,84972253,R,2733401,R,82238852,R,36611584.0,R,2472801416.0,R,67666602,R,0.0,R,40280077,R,3387563076,R,412719,R,314953056,R,0,R,105038570,R,54884,R,0,R,61112310,R,548182026,R,11551113,R,1041304678,R,4428867754,R,0.0,R,1645260.0,R,33163130.0,R,23924827,R,58733217,R,4487600971,R,297402764,R,201713260,R,340868357,R,158080180,R,200468331,R,85995925,R,161643081,R,122571824,R,39825997,R,21779597,R,227696322,R,72954489,R,55053095,R,73658228.0,R,12883832.0,R,2132063933.0,R,744558698.0,R,0.0,R,0.0,R,157520490,R,0,R,3686200598,R,1420537805,R,446651383,R,87571729,R,146867434,R,31252660,R,1553319587,1,R,132530000.0,R,1245083000.0,R,59318000.0,R,300345000.0,1,R,24990489.0,R,271431941.0,R,466127555.0,R,550188926.0,R,23435204.0,R,41263004.0,R,211686.0,R,21456.0,R,11856091.0,R,71763002.0,R,148550443.0,R,91726065.0,R,1771283.0,R,93497348.0,R,55053095.0,R,17249835.0,R,17249835.0,R,0.0,R,12759393.0,R,12759393.0,R,0.0,R,155814.0,R,155814.0,R,0.0,R,15793.0,R,15793.0,R,0.0,R,7474791.0,R,7474791.0,R,0.0,R,55841722.0,R,54070439.0,R,1771283.0,1,R,539858544.0,R,711616804.0,R,171758260.0,R,25387483.0,R,146370777.0,R,0.0,R,0.0,R,849345814.0,R,5272748966.0,R,887764971.0,R,4962059885.0,R,3751572918.0,R,35225414.0,R,4423403152.0
100706,R,133502792.0,R,287080032.0,R,144869922.0,R,431949954.0,R,565452746.0,R,98710616.0,R,5521000.0,R,82661330.0,R,88182330.0,R,141912317.0,R,254728687.0,R,396641004.0,R,484823334.0,R,54300752.0,R,162862000.0,R,15014882.0,R,14741173.0,R,-67578779.0,R,125039276.0,R,37630801.0,R,0.0,R,462445400.0,R,112364667.0,R,2332774.0,R,614773642.0,R,312759600.0,R,301291.0,R,0.0,R,333235592.0,R,300530524.0,R,32705068.0,R,92443507.0,R,-109299.0,R,125039276.0,R,71283876,R,122034844,R,4609046,R,1808959,R,0,R,1808959,R,11512344.0,R,0.0,R,4363351,R,0.0,R,0,R,215612420,R,0,R,57378734,R,0,R,27651693,R,0,R,0,R,7868683,R,22472701,R,0,R,115371811,R,330984231,R,1059960.0,R,1191401.0,R,0.0,R,0,R,2251361,R,333235592,R,70504706,R,43811274,R,111733437,R,57397883,R,10130820,R,3288361,R,13659301,R,7021899,R,21096450,R,7778590,R,20464053,R,10066994,R,14399645,R,15799698.0,R,2307170.0,R,0.0,R,0.0,R,0.0,R,0.0,R,22742414,R,0,R,300530524,R,131672171,R,52749980,R,14287985,R,18273914,R,5962315,R,77584159,1,R,19774359.0,R,192513000.0,R,7650000.0,R,48405739.0,1,R,2968055.0,R,61424456.0,R,39110728.0,R,50304877.0,R,8746360.0,R,10257140.0,R,133619.0,R,0.0,R,3066651.0,R,42029965.0,R,64233735.0,R,47878093.0,R,1955997.0,R,49834090.0,R,14399645.0,R,8737154.0,R,8737154.0,R,0.0,R,357900.0,R,357900.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,980953.0,R,961334.0,R,19619.0,R,39758083.0,R,37821705.0,R,1936378.0,1,R,75837207.0,R,100321016.0,R,24483809.0,R,3293894.0,R,21189915.0,R,3623821.0,R,-3623821.0,R,46751346.0,R,344050336.0,R,58948742.0,R,355914062.0,R,211605447.0,R,147433317.0,R,304772228.0
100724,R,98591004.0,R,246758765.0,R,312649.0,R,247071414.0,R,345662418.0,R,54027120.0,R,5105000.0,R,21882801.0,R,26987801.0,R,51735000.0,R,124161743.0,R,175896743.0,R,202884544.0,R,35959500.0,R,194911763.0,R,24430650.0,R,250000.0,R,-58746919.0,R,160845494.0,R,21259653.0,R,87364761.0,R,282811496.0,R,27256859.0,R,162273.0,R,418855042.0,R,177968285.0,R,5872009.0,Z,0.0,R,299393222.0,R,135185400.0,R,164207822.0,R,-40477756.0,R,37115428.0,R,160845494.0,R,33380046,R,43162052,R,4180182,R,3774543,Z,0,R,3774543,R,10294363.0,Z,0.0,Z,0,Z,0.0,R,2754468,R,97545654,R,0,R,50609823,R,0,R,13801912,R,92353,R,0,R,324609,R,2236397,R,134191850,R,201256944,R,298802598,R,590624.0,R,0.0,R,0.0,R,0,R,590624,R,299393222,R,36994782,R,23249888,R,3647276,R,1350568,R,3570270,R,1708191,R,12717006,R,4905746,R,15444208,R,7573207,R,33563994,R,9649273,R,18786872,R,10093722.0,R,1732860.0,R,0.0,Z,0.0,R,0.0,Z,0.0,R,367270,R,0,R,135185400,R,50169733,R,14753071,R,13816974,R,10951424,R,1862637,R,43631561,1,R,-183856.0,R,79354026.0,R,4572000.0,R,16253010.0,1,R,551127.0,R,47188557.0,R,31387500.0,R,37637045.0,R,13467395.0,R,4083350.0,R,92353.0,R,0.0,R,713557.0,R,17171943.0,R,35528598.0,R,14483380.0,R,2258346.0,R,16741726.0,R,18786872.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,16741726.0,R,14483380.0,R,2258346.0,1,R,111315175.0,R,130589167.0,R,19273992.0,R,273633.0,R,17850184.0,R,1008060.0,R,142115.0,R,179094369.0,R,315287829.0,R,179094369.0,R,273669058.0,R,0.0,R,51735000.0,R,136193460.0
100733,R,5152535.0,R,15199185.0,R,15832716.0,R,31031901.0,R,36184436.0,R,11579686.0,R,0.0,R,6136266.0,R,6136266.0,R,0.0,R,28903993.0,R,28903993.0,R,35040259.0,R,5148558.0,R,15199185.0,R,0.0,R,0.0,R,-7623880.0,R,7575305.0,R,106750.0,R,76802.0,R,16861828.0,R,171565.0,R,2183715.0,R,19400660.0,R,4201475.0,R,0.0,R,0.0,R,24229417.0,R,21250663.0,R,2978754.0,R,4596551.0,R,0.0,R,7575305.0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0,A,,R,21848974,R,21848974,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2375365,R,5078,R,2380443,R,24229417,R,0.0,R,0.0,R,0.0,R,0,R,0,R,24229417,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,18197475,R,13253119,R,0,R,0.0,R,0.0,A,,A,,A,,A,,R,3053188,R,0,R,21250663,R,13253119,R,4731098,R,0,R,409352,R,0,R,2857094,1,R,2704421.0,R,21932000.0,R,639000.0,R,5949000.0,1,R,348768.0,R,6971993.0,R,4509558.0,R,5630628.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,R,2978754.0,R,24229417.0,R,2978754.0,R,4596551.0,R,7623880.0,R,0.0,R,21250663.0
100751,R,872925391.0,R,2160032136.0,R,2393983679.0,R,4554015815.0,R,5426941206.0,R,410568293.0,R,43028018.0,R,514014179.0,R,557042197.0,R,1157022377.0,R,1048736638.0,R,2205759015.0,R,2762801212.0,R,211194813.0,R,1355627568.0,R,653094564.0,R,543461482.0,R,311329860.0,R,2863513474.0,R,180519459.0,R,177783198.0,R,2542011960.0,R,391403104.0,R,144052143.0,R,3435769864.0,R,1019481956.0,R,60388167.0,R,3439357.0,R,1712077550.0,R,1171932223.0,R,540145327.0,R,2323368147.0,R,0.0,R,2863513474.0,R,481899451,R,72754341,R,31175136,R,8238371,R,1137504,R,7100867,R,207244020.0,R,0.0,R,11262637,R,0.0,R,55566533,R,868140489,R,0,R,190568533,R,0,R,118029635,R,0,R,0,R,64036452,R,409930867,R,2699876,R,785265363,R,1653405852,R,657766.0,R,19291609.0,R,34292210.0,R,4430113,R,58671698,R,1712077550,R,312776287,R,182296415,R,118097592,R,55331292,R,57449310,R,30494764,R,112389476,R,49914976,R,57923784,R,27490321,R,130061502,R,54133355,R,63985872,R,217511863.0,R,69162174.0,R,0.0,R,0.0,R,0.0,R,0.0,R,101736537,R,0,R,1171932223,R,468823297,R,203793420,R,87737858,R,87143990,R,37183704,R,287249954,1,R,86319581.0,R,739566000.0,R,21370000.0,R,173781744.0,1,R,11249807.0,R,276972007.0,R,181191162.0,R,220624298.0,R,28070534.0,R,42052852.0,R,978342.0,R,0.0,R,20528077.0,R,254969347.0,R,346599152.0,R,271660919.0,R,10952361.0,R,282613280.0,R,63985872.0,R,28070534.0,R,28070534.0,R,0.0,R,4532283.0,R,4532283.0,R,0.0,R,978342.0,R,978342.0,R,0.0,R,0.0,R,0.0,R,0.0,R,12898997.0,R,12898997.0,R,0.0,R,236133124.0,R,225180763.0,R,10952361.0,1,R,939393269.0,R,1242660775.0,R,303267506.0,R,58017191.0,R,245671242.0,R,-420927.0,R,0.0,R,175339969.0,R,1354013316.0,R,627849136.0,R,3280653168.0,R,1851680910.0,R,1304637775.0,R,1178673347.0
100760,R,11279097.0,R,19971151.0,R,0.0,R,19971151.0,R,31250248.0,R,4881148.0,R,270000.0,R,3330854.0,R,3600854.0,R,5644157.0,R,19036975.0,R,24681132.0,R,28281986.0,R,5148097.0,R,14056994.0,R,1340665.0,R,0.0,R,-12696346.0,R,2701313.0,R,1699274.0,R,2366988.0,R,33447814.0,R,8859074.0,R,0.0,R,46373150.0,R,26401999.0,R,0.0,R,0.0,R,20580640.0,R,18642584.0,R,1938056.0,R,767463.0,R,-4206.0,R,2701313.0,R,1719264,R,4997721,R,1472781,R,14040,R,14040,R,0,R,0.0,A,,R,0,A,,R,41922,R,8245728,R,0,R,9799654,R,0,R,2339054,R,0,R,0,R,107257,R,4122,R,84825,R,12334912,R,20580640,R,0.0,R,0.0,R,0.0,R,0,R,0,R,20580640,R,8040909,R,4566117,R,0,R,0,R,80480,R,42107,R,908418,R,569540,R,2655716,R,1276343,R,4103076,R,1303198,R,1294613,R,0.0,R,0.0,A,,A,,A,,A,,R,1559372,R,0,R,18642584,R,7757305,R,2059968,R,1946941,R,1369286,R,225239,R,5283845,1,R,1058342.0,R,13355000.0,R,916000.0,R,2702639.0,1,R,501030.0,R,5202078.0,R,4232097.0,R,2178509.0,R,2253434.0,R,83145.0,R,1588034.0,R,0.0,R,0.0,R,751263.0,R,4675876.0,R,3381263.0,R,0.0,R,3381263.0,R,1294613.0,R,2197677.0,R,2197677.0,R,0.0,R,49345.0,R,49345.0,R,0.0,R,382978.0,R,382978.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,751263.0,R,751263.0,R,0.0,1,R,433325.0,R,146977.0,R,-286348.0,R,0.0,R,444.0,R,0.0,R,-286792.0,R,1596191.0,R,20580640.0,R,1591985.0,R,2359448.0,R,-12549226.0,R,5914157.0,R,18300718.0
100812,R,27172754.0,R,42625402.0,R,8975893.0,R,51601295.0,R,78774049.0,R,13952118.0,R,1450000.0,R,7073790.0,R,8523790.0,R,7745000.0,R,45779497.0,R,53524497.0,R,62048287.0,R,8927877.0,R,33430402.0,R,994617.0,R,200000.0,R,-12875016.0,R,21750003.0,R,2593856.0,R,2633789.0,R,52970590.0,R,3905498.0,R,592698.0,R,62696431.0,R,20071029.0,Z,0.0,Z,0.0,R,47991176.0,R,43148695.0,R,4842481.0,R,16907522.0,R,0.0,R,21750003.0,R,15232489,R,5909844,R,3232828,Z,0,Z,0,Z,0,R,240653.0,Z,0.0,Z,0,Z,0.0,R,0,R,24615814,Z,0,R,17199091,Z,0,R,5346740,Z,0,Z,0,R,0,R,384480,R,445051,R,23375362,R,47991176,R,0.0,R,0.0,R,0.0,R,0,R,0,R,47991176,R,17817770,R,12669698,Z,0,Z,0,Z,0,Z,0,R,4343896,R,2003119,R,3487856,R,2224951,R,8331931,R,3492843,R,4876768,R,461556.0,R,178120.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,3828918,R,26878,R,43148695,R,20595609,R,7402091,R,1523025,R,1280660,R,285210,R,12062100,1,R,3768000.0,R,32950000.0,R,1201000.0,R,8483430.0,1,R,-377824.0,R,11782148.0,R,7726877.0,R,5233422.0,R,5238455.0,R,1671028.0,R,311147.0,Z,0.0,Z,0.0,R,1392852.0,R,8613482.0,R,3736714.0,R,0.0,R,3736714.0,R,4876768.0,R,1883225.0,R,1883225.0,R,0.0,R,600735.0,R,600735.0,R,0.0,R,111857.0,R,111857.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,1140897.0,R,1140897.0,R,0.0,1,R,4496491.0,R,5701551.0,R,1205060.0,R,0.0,R,0.0,R,0.0,R,1205060.0,R,-17794458.0,R,47252753.0,R,4842481.0,R,21750003.0,R,-11880398.0,R,9195000.0,R,43148695.0
100830,R,23087148.0,R,97794326.0,R,76362303.0,R,174156629.0,R,197243777.0,R,38854639.0,R,47574.0,R,29332357.0,R,29379931.0,R,16562.0,R,173352852.0,R,173369414.0,R,202749345.0,R,20098870.0,R,19533060.0,R,30106954.0,R,5268271.0,R,-41658084.0,R,13250201.0,R,15344044.0,R,9225944.0,R,135597415.0,R,34056575.0,R,649721.0,R,194873699.0,R,97079373.0,R,0.0,R,0.0,R,116354156.0,R,101943206.0,R,14410950.0,R,-1160749.0,R,0.0,R,13250201.0,R,37370041,R,1423196,R,2905728,R,24723,R,0,R,24723,R,6930205.0,R,0.0,R,1330204,R,0.0,R,1113004,R,51097101,R,0,R,27703179,R,0,R,24075013,R,1370058,R,0,R,930230,R,11165983,R,0,R,65244463,R,116341564,R,0.0,R,0.0,R,12592.0,R,0,R,12592,R,116354156,R,33390207,R,22257497,R,489642,R,277105,R,4761262,R,2332613,R,5460204,R,3559029,R,8671842,R,4723963,R,15261794,R,6411863,R,10059100,R,6537131.0,R,1519722.0,R,0.0,R,0.0,R,0.0,R,0.0,R,17312024,R,1279245,R,101943206,R,42361037,R,15876453,R,6846500,R,4906481,R,3077821,R,28874914,1,R,3160732.0,R,72282981.0,R,1719097.0,R,16806224.0,1,R,284008.0,R,27724121.0,R,18379772.0,R,22048415.0,R,10269179.0,R,6480592.0,R,132040.0,R,0.0,R,2112138.0,R,8730206.0,R,27724155.0,R,15824173.0,R,1840882.0,R,17665055.0,R,10059100.0,R,10269179.0,R,9199024.0,R,1070155.0,R,515018.0,R,461348.0,R,53670.0,R,132040.0,R,118280.0,R,13760.0,R,0.0,R,0.0,R,0.0,R,2022214.0,R,1811478.0,R,210736.0,R,4726604.0,R,4234043.0,R,492561.0,1,R,52113787.0,R,64217660.0,R,12103873.0,R,733445.0,R,13861435.0,R,-2491007.0,R,0.0,R,14398358.0,R,116341564.0,R,14410950.0,R,13250201.0,R,-11551130.0,R,78023190.0,R,101943206.0
100858,R,409001160.0,R,1785311497.0,R,1925878286.0,R,3711189783.0,R,4120190943.0,R,480048007.0,R,49130963.0,R,395475069.0,R,444606032.0,R,1100801555.0,R,1230093446.0,R,2330895001.0,R,2775501033.0,R,229631125.0,R,1359724393.0,R,224977083.0,R,25052691.0,R,-14647375.0,R,1595106792.0,R,210075680.0,R,287106989.0,R,2074831342.0,R,515766555.0,R,169169049.0,R,3256949615.0,R,1251691893.0,R,0.0,R,2806740.0,R,1447526392.0,R,1235943184.0,R,211583208.0,R,1383523584.0,R,0.0,R,1595106792.0,R,509998572,R,123547867,R,14213672,R,20840188,R,2861962,R,17978226,R,182015228.0,R,0.0,R,47899583,R,0.0,R,25610957,R,924126067,R,0,R,270965767,R,0,R,88697621,R,0,R,0,R,42231953,R,79099169,R,0,R,480994510,R,1405120577,R,0.0,R,42172503.0,R,233312.0,R,0,R,42405815,R,1447526392,R,241503442,R,138667284,R,238033142,R,117985725,R,102496404,R,50075631,R,145294102,R,83956754,R,37321348,R,19586549,R,115951221,R,63566265,R,45178894,R,209731926.0,R,70566676.0,R,0.0,R,0.0,R,0.0,R,0.0,R,100432705,R,0,R,1235943184,R,544404884,R,209616910,R,79100455,R,106669731,R,32770270,R,263380934,1,R,92766661.0,R,791417210.0,R,17491313.0,R,192773330.0,1,R,7666043.0,R,350143587.0,R,211367386.0,R,252498929.0,R,15825428.0,R,73929345.0,R,81826.0,R,6379.0,R,81327918.0,R,13751213.0,R,184922109.0,R,131753054.0,R,7990161.0,R,139743215.0,R,45178894.0,R,15825428.0,R,14920570.0,R,904858.0,R,3812009.0,R,3594048.0,R,217961.0,R,352600.0,R,332439.0,R,20161.0,R,0.0,R,0.0,R,0.0,R,17883495.0,R,16860962.0,R,1022533.0,R,101869683.0,R,96045035.0,R,5824648.0,1,R,784621493.0,R,993955140.0,R,209333647.0,R,31509204.0,R,211551092.0,R,33726649.0,R,-67453298.0,R,169177393.0,R,1405120577.0,R,211583208.0,R,1595106792.0,R,210329708.0,R,1138611854.0,R,1235943184.0
